상호명,도로명주소,소재지(지번),전화번호,위도,경도,동구분
가요노래클럽,"인천광역시 연수구 먼우금로 88, 상산빌딩 지하1층 (동춘동)",인천광역시 연수구 동춘동 937-11 상산빌딩 지하1층일부 ,,37.406688,126.670337,동춘동
슈바빙룸,"인천광역시 연수구 앵고개로101번길 34-19, 지하1층 일부 (동춘동)",인천광역시 연수구 동춘동 809-8 지하1층 일부 ,,37.414909,126.656669,동춘동
뚜뚜노래클럽,"인천광역시 연수구 벚꽃로 114, 브랫슬 2층 202-1호 (연수동)",인천광역시 연수구 연수동 592 브랫슬 202-1호,,37.417019,126.678112,연수동
더블루,"인천광역시 연수구 인권로 25, 지하1층 (옥련동)",인천광역시 연수구 옥련동 538-1 ,,37.419346,126.652882,옥련동
Diary(다이어리),"인천광역시 연수구 대암로 31, 지하2층 일부호 (옥련동)",인천광역시 연수구 옥련동 528 지하2층 일부호,,37.418464,126.652836,옥련동
거래처,"인천광역시 연수구 능허대로267번길 17, 지하1층 (동춘동)",인천광역시 연수구 동춘동 818-5 ,,37.413536,126.654426,동춘동
명품,"인천광역시 연수구 용담로 87, 지상4층 (청학동)",인천광역시 연수구 청학동 500 지상4층 ,032-811-6755,37.416657,126.675401,청학동
소판돈,"인천광역시 연수구 용담로 111 (연수동, 지하1층)",인천광역시 연수구 연수동 596-6 지하1층 ,032-811-8263,37.415264,126.677475,연수동
미인파티,"인천광역시 연수구 벚꽃로 114 (연수동,브랫슬 4층 401-2호 지상4층)",인천광역시 연수구 연수동 592 브랫슬 4층 401-2호 지상4층 ,032-811-9912,37.417019,126.678112,연수동
짝노래클럽,"인천광역시 연수구 능허대로 203 (옥련동, 지상3층 301호)",인천광역시 연수구 옥련동 550-7 지상3층 301호 301호,032-812-9755,37.417655,126.650858,옥련동
도깨비,"인천광역시 연수구 용담로85번길 7 (청학동, 지상2층)",인천광역시 연수구 청학동 497-7 지상2층 ,032-813-8824,37.417012,126.675167,청학동
놀러와,"인천광역시 연수구 용담로 87, 지하1층 (청학동)",인천광역시 연수구 청학동 500 지하1층 ,032-814-1216,37.416657,126.675401,청학동
서울북창동,"인천광역시 연수구 용담로85번길 7 (청학동, 지상3층)",인천광역시 연수구 청학동 497-7 지상3층 ,032-814-1919,37.417012,126.675167,청학동
놀이터 노래밤,"인천광역시 연수구 앵고개로246번길 39-23 (동춘동,(지상4층))",인천광역시 연수구 동춘동 934-2 (지상4층) ,032-814-3540,37.407313,126.671764,동춘동
슈퍼스타,"인천광역시 연수구 용담로85번길 7 (청학동,(지하1층))",인천광역시 연수구 청학동 497-7 (지하1층) ,032-815-4040,37.417012,126.675167,청학동
아우디 노래클럽,"인천광역시 연수구 청명로 16, 2층 (청학동, 지상2층 일부)",인천광역시 연수구 청학동 497-8 지상2층 일부 ,032-815-5789,37.416863,126.675039,청학동
보물섬,"인천광역시 연수구 용담로117번길 27 (연수동, 지상3층)",인천광역시 연수구 연수동 595-2 지상3층 ,032-817-7739,37.415995,126.678193,연수동
링코노래타운,"인천광역시 연수구 용담로118번길 3, 지상3층 (연수동, CMG빌딩)",인천광역시 연수구 연수동 598 CMG빌딩 지상3층 ,032-818-0578,37.414377,126.677886,연수동
샬랄라 주점,"인천광역시 연수구 용담로118번길 7 (연수동, 천지프라자 301호 지상3층)",인천광역시 연수구 연수동 598-15 천지프라자 301호 지상3층 ,032-818-5009,37.415995,126.678193,연수동
준,"인천광역시 연수구 용담로125번길 41, 지상2층 202호 (연수동)",인천광역시 연수구 연수동 593-8 지상2층 202호 ,032-818-5752,37.415745,126.679813,연수동
블루,"인천광역시 연수구 용담로85번길 7 (청학동, 지상 5층)",인천광역시 연수구 청학동 497-7 지상 5층 ,032-818-8555,37.417012,126.675167,청학동
소판돈1,"인천광역시 연수구 용담로 111 (연수동, 아시스타워 701호 지상7층)",인천광역시 연수구 연수동 596-6 아시스타워 701호 지상7층 ,032-818-9442,37.415215,126.677364,연수동
드르와,"인천광역시 연수구 용담로 91, 지상3층 (청학동)",인천광역시 연수구 청학동 500-3 지상3층 ,032-819-0351,37.416394,126.675763,청학동
양파노래클럽,"인천광역시 연수구 능허대로 211 (옥련동, 지상2층)",인천광역시 연수구 옥련동 552-8 지상2층 ,032-822-0033,37.416945,126.650659,옥련동
원피스,"인천광역시 연수구 용담로117번길 27 (연수동, 지하1층)",인천광역시 연수구 연수동 595-2 지하1층 ,032-822-4237,37.415995,126.678193,연수동
소나무,"인천광역시 연수구 앵고개로87번길 12-3, 지상1층 (동춘동)",인천광역시 연수구 동춘동 813-10 ,032-831-0100,37.413157,126.65523,동춘동
무비노래클럽,"인천광역시 연수구 솔밭로 16 (동춘동, 지상1층)",인천광역시 연수구 동춘동 818 지상1층 ,032-831-9994,37.414488,126.653787,동춘동
신화,"인천광역시 연수구 인권로 11 (옥련동, 지상4층)",인천광역시 연수구 옥련동 540-1 지상4층 ,032-832-5956,37.418737,126.651547,옥련동
콜 노래바,"인천광역시 연수구 인권로 9 (옥련동, 지상2층)",인천광역시 연수구 옥련동 540-4 지상2층 ,032-833-5416,37.418601,126.651432,옥련동
좋은사람들,"인천광역시 연수구 앵고개로83번길 9 (동춘동, 지하1층)",인천광역시 연수구 동춘동 816-10 지하1층 ,032-833-8213,37.412609,126.654427,동춘동
클럽아뜨레룸2,"인천광역시 연수구 앵고개로87번길 45 (동춘동, 지상3층)",인천광역시 연수구 동춘동 818-1 지상3층 ,032-833-8816,37.4142,126.653976,동춘동
25시,"인천광역시 연수구 대암로 15, 지하1층 (옥련동)",인천광역시 연수구 옥련동 550-2 지하1층 ,032-834-0057,37.417586,126.651374,옥련동
소풍,"인천광역시 연수구 능허대로267번길 29, 지하1층 (동춘동)",인천광역시 연수구 동춘동 812 지하1층 ,032-834-7007,37.414314,126.655356,동춘동
럭셔리룸클럽,"인천광역시 연수구 인권로 11 (옥련동,지하1층)",인천광역시 연수구 옥련동 540-1 지하1층 ,032-834-7080,37.418737,126.651547,옥련동
놀이터,"인천광역시 연수구 인권로 21 (옥련동, 지상3층)",인천광역시 연수구 옥련동 538-3 지상3층 ,032-834-8100,37.419147,126.652506,옥련동
수,"인천광역시 연수구 인권로 20, 지상2층 (옥련동)",인천광역시 연수구 옥련동 527-3 지상2층 ,032-858-1262,37.418672,126.652554,옥련동
궁 노래바,"인천광역시 연수구 능허대로267번길 42 (동춘동, 지하1층)",인천광역시 연수구 동춘동 813 지하1층 ,032-858-2873,37.413752,126.655969,동춘동
썬,"인천광역시 연수구 앵고개로87번길 12-3, 지상2층 (동춘동)",인천광역시 연수구 동춘동 813-10 ,032-858-9954,37.413157,126.65523,동춘동
더블유(W),"인천광역시 연수구 인권로 25, 지상1층 (옥련동)",인천광역시 연수구 옥련동 538-1 지상1층 ,032-859-1777,37.419346,126.652882,옥련동
빵빠레,"인천광역시 연수구 대암로 15, 2층 (옥련동)",인천광역시 연수구 옥련동 550-2 2층 ,070-4575-4544,37.417586,126.651374,옥련동
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
