상호명,도로명주소,전화번호,위도,경도
연수전문약국,"인천광역시 연수구 앵고개로 242, 118호 (동춘동, 제일빌딩)",032-821-4609,37.408604,126.670782
신연수약국,"인천광역시 연수구 원인재로 312, 107호 (연수동, 대림상가)",032-818-5120,37.420713,126.694656
동의당약국,"인천광역시 연수구 한진로 23, 1층 (옥련동)",032-834-8275,37.424615,126.647832
온누리현대약국,인천광역시 연수구 독배로40번길 29 (옥련동),032-831-4822,37.424448,126.646562
누리약국,"인천광역시 연수구 원인재로 14, 101호 (동춘동, 무지개상가)",032-818-0591,37.401583,126.671079
최현수약국,인천광역시 연수구 비류대로 429 (연수동),032-814-1333,37.424363,126.682498
둥지온누리약국,인천광역시 연수구 함박뫼로 26 (청학동),032-818-5549,37.419713,126.672008
보건약국,"인천광역시 연수구 원인재로 222, 401동 115호 (연수동, 시영1차아파트상가)",032-811-8755,37.414683,126.687855
강봉윤약국,"인천광역시 연수구 원인재로 315, 110호 (연수동, 주공1단지상가)",032-811-2023,37.421151,126.691934
화랑약국,"인천광역시 연수구 원인재로 312, 104호 (연수동, 경남아파트상가)",032-813-0282,37.421642,126.694781
효성메디칼약국,"인천광역시 연수구 청능대로 93, 102호 (청학동, 두손빌딩)",032-811-7997,37.414254,126.675685
자애약국,"인천광역시 연수구 원인재로 315, 106호 (연수동, 주공임대상가)",032-812-1019,37.421353,126.690974
동인천약국,"인천광역시 연수구 선학로 101, 104호 (선학동, 뉴서울상가)",032-814-4101,37.425084,126.700175
대산프라자약국,"인천광역시 연수구 앵고개로246번길 10, 107,108호 (동춘동)",032-816-4531,37.408355,126.670609
