종별,의료기관명,도로명주소,전화번호,위도,경도,동구분
의원,연수이이주내과의원,"인천광역시 연수구 먼우금로188번길 12, 이리옴3빌딩 3층 303호 (연수동)",032-818-8114,37.405299,126.672393,연수동
의원,건강한내과의원,"인천광역시 연수구 앵고개로 266, 연수2차한양아파트 상가A동 지상1층 (동춘동)",032-715-4567,37.390984,126.650837,동춘동
의원,세라필의원,"인천광역시 연수구 해돋이로 165, 차오름 프라자 5층 501,502호 (송도동)",032-833-1472,37.373381,126.663602,송도동
의원,송도키즈소아청소년과의원,"인천광역시 연수구 송도문화로28번길 28, 204동 2층 4-201호 (송도동, 송도글로벌캠퍼스푸르지오)",1800-9754,37.414243,126.675753,송도동
의원,고릴라신경외과의원,"인천광역시 연수구 청능대로 93, 이리옴프라자 5층 501호 (청학동)",032-713-5050,37.41426,126.675751,청학동
의원,송도랜시티의원,"인천광역시 연수구 랜드마크로 68, 301동 2층 237호 (송도동, 랜드마크시티센트럴더샵)",032-831-1238,37.383498,126.642493,송도동
의원,송도퍼스트내과의원,"인천광역시 연수구 하모니로 158, 송도타임스페이스 B동 4층 401,402,403,404,405호 (송도동)",032-227-0026,37.382496,126.655478,송도동
의원,늘이비인후과의원,"인천광역시 연수구 센트럴로 415, 힐스테이트 송도 더테라스 판매시설동 2층 235,236,237호 (송도동)",032-833-3650,37.394315,126.640738,송도동
의원,베스트이비인후과의원,"인천광역시 연수구 랜드마크로 68, 301동 2층 266,267,268호 (송도동, 랜드마크시티센트럴더샵)",032-851-8575,37.407216,126.671559,송도동
의원,송도맘편한소아청소년과의원,"인천광역시 연수구 랜드마크로 68, 301동 2층 256,257호 (송도동, 랜드마크시티센트럴더샵)",032-851-1365,37.407216,126.671559,송도동
의원,연수비뇨의학과의원,"인천광역시 연수구 앵고개로264번길 10-13, 대동빌딩 2층 (동춘동)",032-715-4545,37.390558,126.636717,동춘동
의원,의료법인 마크로젠의료재단 진헬스의원,"인천광역시 연수구 인천타워대로132번길 34, 6,7,8층 (송도동)",032-831-3200,37.386534,126.644016,송도동
의원,송도원비뇨의학과의원,"인천광역시 연수구 인천타워대로132번길 34, 라이크홈메디컬센터 4층 403호 (송도동)",032-859-8686,37.381352,126.657004,송도동
의원,송도베스트내과의원,"인천광역시 연수구 송도국제대로 157, 오네스타 6층 A-601,602호 (송도동)",032-716-9797,37.390558,126.636717,송도동
의원,윰산부인과의원,"인천광역시 연수구 인천타워대로132번길 34, 5층 (송도동)",032-858-3773,37.395717,126.651006,송도동
의원,밀레니엄서울내과의원,"인천광역시 연수구 컨벤시아대로 69, 송도 밀레니엄 4층 402호 (송도동)",032-851-1001,37.390984,126.650837,송도동
의원,노블성형외과의원,"인천광역시 연수구 해돋이로 160-4, 골든게이트 4층 401호 (송도동)",032-508-7007,37.390558,126.636717,송도동
의원,오블리브 의원,"인천광역시 연수구 인천타워대로132번길 34, 301,302호 (송도동)",032-851-9119,37.397047,126.649456,송도동
의원,유쾌한비뇨의학과의원,"인천광역시 연수구 신송로 153, 더 마란츠타워 3층 304호 (송도동)",032-831-8575,37.423399,126.693711,송도동
의원,조은산부인과의원,"인천광역시 연수구 학나래로5번길 51, 조은산부인과 (선학동)",032-818-5575,37.392958,126.644811,선학동
의원,송도탑이비인후과의원,"인천광역시 연수구 컨벤시아대로130번길 14, 송도 메디컬타워 (송도동)",032-833-5075,37.378451,126.663718,송도동
의원,닥터킴성형외과의원,"인천광역시 연수구 송도과학로16번길 33-2, 송도 트리플스트리트 B4동 401~402호 (송도동)",032-715-6352,37.412797,126.656931,송도동
의원,삼성스마일의원,"인천광역시 연수구 앵고개로104번길 4, 준빌딩 4층 402호 (동춘동)",032-833-4976,37.384878,126.658734,동춘동
의원,송도탑정형외과의원,"인천광역시 연수구 송도국제대로 261, 231동 207,208호 (송도동, 송도 더샵 센트럴시티)",032-813-6767,37.390984,126.650837,송도동
의원,남문석내과의원,"인천광역시 연수구 해돋이로 160-4, 골든게이트 3층 301,302호 (송도동)",032-833-3322,37.414586,126.675845,송도동
의원,김경태정형외과의원,"인천광역시 연수구 먼우금로 189, 201,202,203일부,204,206,208,210,212,215호 2층 (청학동)",032-229-0123,37.395717,126.651006,청학동
의원,다원여성의원,"인천광역시 연수구 컨벤시아대로 69, 송도 밀레니엄 412호 (송도동)",032-831-1500,37.396087,126.64127,송도동
의원,골드리버의원,"인천광역시 연수구 컨벤시아대로130번길 14, 송도 메디컬타워 3층 305호 (송도동)",032-859-5353,37.398299,126.63373,송도동
의원,송도아이비에스(IBS)내과의원,"인천광역시 연수구 센트럴로 263, 송도국제업무단지 C8-2블럭 업무복합시설 (송도동)",070-7542-6576,37.390984,126.650837,송도동
의원,온소아청소년과의원,"인천광역시 연수구 해돋이로 165, 차오름 프라자 403호 (송도동)",032-833-0484,37.381352,126.657004,송도동
의원,송도유외과의원,"인천광역시 연수구 송도국제대로 157, 오네스타 6층 (송도동)",032-817-6875,37.389167,126.643889,송도동
의원,삼성드림이비인후과의원,"인천광역시 연수구 컨벤시아대로 165, 포스코타워-송도 6층 (송도동)",032-224-0365,37.383498,126.642493,송도동
의원,파크뷰의원,"인천광역시 연수구 하모니로 158, 송도타임스페이스 B동 6층 603,604호 (송도동)",032-710-1404,37.387223,126.643826,송도동
의원,송도허브여성의원,"인천광역시 연수구 테크노파크로111번길 4, 드 메티스 빌딩 2~5층, 8층 (송도동)",1577-5165,37.424486,126.645626,송도동
의원,맑고고운의원,"인천광역시 연수구 독배로40번길 11, 효명프라자 405호 (옥련동)",032-832-4051,37.384878,126.658734,옥련동
의원,미라클마취통증의학과의원,"인천광역시 연수구 송도국제대로 157, 오네스타 5층 A505-1,A506호 (송도동)",032-821-2227,37.384878,126.658734,송도동
의원,이솜이비인후과의원,"인천광역시 연수구 송도국제대로 261, 2층 210~211호 (송도동, 송도 더샵 센트럴시티)",032-818-8222,37.392419,126.644034,송도동
의원,송도비앤미의원,"인천광역시 연수구 센트럴로 160, 237호 (송도동, 송도센트럴파크푸르지오)",032-834-5011,37.384878,126.658734,송도동
의원,바른이비인후과의원,"인천광역시 연수구 송도국제대로 157, 오네스타 A-118 (송도동)",032-817-2333,37.392921,126.646044,송도동
의원,제이웰자연의원,"인천광역시 연수구 컨벤시아대로230번길 42, 송도아라플라자 (송도동)",032-851-9700,37.423926,126.69684,송도동
의원,연수제일내과의원,"인천광역시 연수구 학나래로6번길 3, 2층 (선학동)",032-813-8136,37.423926,126.69684,선학동
의원,연수제일정형외과의원,"인천광역시 연수구 학나래로6번길 3, 5층 (선학동)",032-813-6300,37.422217,126.674742,선학동
의원,새봄가정의원,"인천광역시 연수구 새말로 32, 2층 (연수동)",032-812-7585,37.394467,126.641007,연수동
의원,리더스피부과의원,"인천광역시 연수구 센트럴로 194 (송도동, 더샵 센트럴파크2)",032-715-8190,37.424491,126.644895,송도동
의원,옥련삼성내과의원,"인천광역시 연수구 독배로 42, 해창빌딩 4~5층 (옥련동)",032-831-9554,37.40678,126.671818,옥련동
의원,에이스재활의학과의원,"인천광역시 연수구 앵고개로264번길 30-4, 영남프라자 (동춘동)",032-813-7505,37.395487,126.65216,동춘동
의원,클렌피부과의원,인천광역시 연수구 신송로 153 (송도동),032-715-4100,37.384878,126.658734,송도동
의원,브이아이씨(V.I.C)365소아청소년과의원,"인천광역시 연수구 송도국제대로 157, 오네스타 7층 701~710호 (송도동)",032-710-1147,37.390984,126.650837,송도동
의원,송도코엔이비인후과의원,"인천광역시 연수구 해돋이로 168-15, 글로벌시티프라자 301,302,704호 (송도동)",032-859-5119,37.384878,126.658734,송도동
의원,송도메이정신건강의학과의원,"인천광역시 연수구 송도국제대로 157, 오네스타 6층 A-606호 (송도동)",032-815-7557,37.397047,126.649456,송도동
의원,마음정원정신건강의학과의원,"인천광역시 연수구 신송로 153, 더 마란츠타워 202호 (송도동)",032-833-3950,37.392921,126.646044,송도동
의원,아라소아청소년과의원,"인천광역시 연수구 컨벤시아대로230번길 42, 송도아라플라자 302호 (송도동)",032-834-0302,37.384878,126.658734,송도동
의원,오네스타의원,"인천광역시 연수구 송도국제대로 157, 405호일부,406호,407호 (송도동)",032-724-8200,37.390984,126.650837,송도동
의원,송도속내과의원,"인천광역시 연수구 해돋이로 168-15, 402호 (송도동, 글로벌시티프라자)",032-868-8575,37.394883,126.650117,송도동
의원,비엘에스의원,"인천광역시 연수구 컨벤시아대로 81, 704 (일부)호 (송도동, 드림시티)",032-422-1755,37.422474,126.669874,송도동
의원,연수베스트내과의원,"인천광역시 연수구 먼우금로 189, 2층 (청학동, 소망글로벌)",032-817-5550,37.424486,126.645626,청학동
의원,굿닥터신경외과의원,"인천광역시 연수구 독배로40번길 11, 301호, 302호, 303호 (옥련동, 효명프라자)",032-833-7501,37.413621,126.676282,옥련동
의원,연수와이에스케이(YSK)안과의원,"인천광역시 연수구 청능대로 103, 4층 (연수동)",032-815-3487,37.389167,126.643889,연수동
의원,송도외과의원,"인천광역시 연수구 컨벤시아대로 165, 4층 (송도동, 동북아트레이드타워)",032-833-0000,37.427522,126.663245,송도동
의원,고려가정의학과의원,"인천광역시 연수구 청학로 5, 3층 (청학동, 행복빌딩)",032-834-2475,37.413384,126.676506,청학동
의원,큰바위정형외과의원,"인천광역시 연수구 먼우금로188번길 12, 이리옴3빌딩 3층 301호 (연수동)",032-815-8875,37.424584,126.647226,연수동
의원,김진욱신경외과의원,"인천광역시 연수구 독배로40번길 43, 4층 (옥련동, 신송빌딩)",032-831-7800,37.372751,126.659912,옥련동
의원,오렌지소아청소년과의원,"인천광역시 연수구 송도문화로84번길 24 (송도동, 송도에듀포레푸르지오)",032-821-9191,37.415808,126.677387,송도동
의원,연수스타정형외과의원,"인천광역시 연수구 먼우금로 208, 3층 (연수동)",032-821-2100,37.414243,126.675753,연수동
의원,기분좋은신경과의원,"인천광역시 연수구 청능대로 93, 403호 (청학동, 이리옴프라자)",032-816-7575,37.388054,126.665132,청학동
의원,와이삼성이비인후과의원,"인천광역시 연수구 송도과학로27번길 55, A(301)동 307, 308호 (송도동, 롯데캐슬캠퍼스타운)",032-822-5233,37.390984,126.650837,송도동
의원,송도연세정형외과의원,"인천광역시 연수구 해돋이로 167, 2, 3층 (송도동, 힐링플라자)",032-832-5488,37.423642,126.696952,송도동
의원,올리브여성의원,"인천광역시 연수구 학나래로6번길 6, 서천빌딩 (선학동)",032-813-0075,37.392921,126.646044,선학동
의원,의료법인 정강의료재단 JK위드미의원,"인천광역시 연수구 컨벤시아대로 165, 6층 (송도동)",032-715-7991,37.384878,126.658734,송도동
의원,송도닥터스의원,"인천광역시 연수구 송도국제대로 165 (송도동, 홈플러스송도점 지하1층)",032-812-7338,37.392419,126.644034,송도동
의원,피어봄의원,"인천광역시 연수구 센트럴로 160, 2층 (송도동, 송도센트럴파크푸르지오)",032-818-8275,37.39155,126.651236,송도동
의원,송도마취통증의학과의원,"인천광역시 연수구 하모니로36번길 1, 3층 (송도동)",032-465-7588,37.392958,126.644811,송도동
의원,하늘안과의원,"인천광역시 연수구 컨벤시아대로130번길 14 (송도동, 플러스메디타워 301,303호)",032-833-0790,37.396087,126.64127,송도동
의원,휴먼피부과의원,"인천광역시 연수구 컨벤시아대로130번길 14, 4층 (송도동, 플러스메디타워)",032-858-3335,37.408355,126.670609,송도동
의원,이강연유외과의원,인천광역시 연수구 앵고개로246번길 10 (동춘동),032-818-6825,37.424511,126.647566,동춘동
의원,한양마취통증의학과의원,"인천광역시 연수구 독배로40번길 47, 201호 (옥련동, 제일빌딩)",032-257-8275,37.424439,126.646015,옥련동
의원,삼성연합의원,"인천광역시 연수구 독배로40번길 21, 3층 (옥련동)",032-833-8556,37.395487,126.65216,옥련동
의원,바른나무신경외과의원,"인천광역시 연수구 신송로 161, 송도 하이츠 4층 401,402,403,404호 (송도동)",032-859-7300,37.395487,126.65216,송도동
의원,연세마이미의원,"인천광역시 연수구 신송로 166, 7층 (송도동, 플러스원프라자)",032-215-1100,37.395487,126.65216,송도동
의원,연세플러스소아청소년과의원,"인천광역시 연수구 신송로 166 (송도동, 플러스원프라자3층)",032-832-8275,37.395487,126.65216,송도동
의원,서울삼성내과의원,"인천광역시 연수구 신송로 166, 4층 (송도동, 플러스원프라자)",032-833-1933,37.425081,126.64428,송도동
의원,밝은마음정신건강의학과의원,"인천광역시 연수구 독배로 49, 2층 (옥련동, 럭키빌딩)",032-832-7579,37.395356,126.651923,옥련동
의원,송도아이비의원,"인천광역시 연수구 신송로 121 (송도동, 센타프라자 708호)",032-834-1116,37.374921,126.653819,송도동
의원,글로벌송도의원,"인천광역시 연수구 송도문화로28번길 28, 203동 210호 (송도동, 글로벌 캠퍼스푸르지오 상가)",032-295-1000,37.390984,126.650837,송도동
의원,송도센트럴이비인후과의원,"인천광역시 연수구 해돋이로 168, 401호 (송도동, 혜인프라자)",032-831-9972,37.390984,126.650837,송도동
의원,송도미소소아청소년과의원,"인천광역시 연수구 해돋이로 161, 303, 304호 (송도동, 세종프라자)",032-832-2552,37.424491,126.644895,송도동
의원,꼬꼬마소아청소년과의원,"인천광역시 연수구 독배로 42, 2층 (옥련동, 해창빌딩)",032-851-4977,37.414243,126.675753,옥련동
의원,닥터포유미앤모의원,"인천광역시 연수구 청능대로 93, 402호 (청학동, 이리옴프라자)",032-817-8057,37.391075,126.648036,청학동
의원,gsw마취통증의학과의원,"인천광역시 연수구 해돋이로 107 (송도동,더샵퍼스트월드 H동상가 71-72호)",032-835-7331,37.395661,126.650954,송도동
의원,라온정신건강의학과의원,"인천광역시 연수구 컨벤시아대로 69 (송도동,밀레니엄상가 7층 706-1호)",032-831-8906,37.378894,126.638845,송도동
의원,의료법인 이원의료재단 이원의원,인천광역시 연수구 하모니로 291 (송도동),032-210-2270,37.398299,126.63373,송도동
의원,의료법인 루가의료재단 지안의원,"인천광역시 연수구 센트럴로 263, 송도국제업무단지 C8-2블럭 업무복합시설 6,7층 (송도동)",032-830-2700,37.406106,126.683724,송도동
의원,드림의원,"인천광역시 연수구 청능대로 210 (동춘동,스퀘어원 3층)",032-456-4330,37.406106,126.683724,동춘동
의원,서울꾸러기365의원,"인천광역시 연수구 청능대로 210, 3층 (동춘동, 스퀘어원)",032-456-4375,37.406642,126.670814,동춘동
의원,연세e소아청소년과의원,"인천광역시 연수구 앵고개로264번길 46, 2층 (동춘동)",032-819-5700,37.394883,126.650117,동춘동
의원,제이드비뇨기과의원,"인천광역시 연수구 컨벤시아대로 81, 312호 (송도동, 드림시티상가)",032-833-9696,37.424511,126.647566,송도동
의원,서울밝은안과의원,"인천광역시 연수구 독배로40번길 47, 5층 (옥련동, 제일빌딩)",032-832-9823,37.395714,126.652444,옥련동
의원,송도여성의원,"인천광역시 연수구 신송로 122 (송도동,송도프라자 2층 201호)",032-859-0075,37.414548,126.675892,송도동
의원,미래제일산부인과의원,"인천광역시 연수구 먼우금로 189, 501호 (청학동, 소망빌딩)",032-245-0101,37.394901,126.650156,청학동
의원,신비라인의원,인천광역시 연수구 컨벤시아대로 81 (송도동),032-833-7580,37.395661,126.650954,송도동
의원,미앤아이의원,"인천광역시 연수구 컨벤시아대로 69, 6층 608호 (송도동, 밀레니엄상가)",032-859-2345,37.414243,126.675753,송도동
의원,연세최선내과의원,"인천광역시 연수구 신송로125번길 7, 4층 (송도동, 이리옴프라자)",032-859-7582,37.40678,126.671818,송도동
의원,앤의원,"인천광역시 연수구 앵고개로264번길 30-4, 3층 (동춘동, 영남프라자)",032-821-9697,37.393256,126.646239,동춘동
의원,설레이는의원,"인천광역시 연수구 컨벤시아대로 116 (송도동,대우월드마크 702동 2층 201호, 202호)",032-859-0220,37.390558,126.636717,송도동
의원,해솔정신과의원,"인천광역시 연수구 인천타워대로 251, 아트윈몰 202호 (송도동)",032-814-8881,37.407827,126.671976,송도동
의원,올바른신경외과의원,"인천광역시 연수구 앵고개로 256, 3층 301호 (동춘동, 웅지프라자)",032-819-7775,37.395356,126.651923,동춘동
의원,신피부과의원,"인천광역시 연수구 신송로 121, 704호 (송도동, 센타프라자)",032-831-7582,37.395717,126.651006,송도동
의원,미소지움피부과의원,"인천광역시 연수구 컨벤시아대로 69, 5층 509호 (송도동, 송도밀레니엄)",032-832-7775,37.395717,126.651006,송도동
의원,연세소아청소년과의원,"인천광역시 연수구 컨벤시아대로 69, 4층 411호 (송도동, 송도 밀레니엄)",032-858-0675,37.394883,126.650117,송도동
의원,아이사랑소아청소년과의원,"인천광역시 연수구 컨벤시아대로 81, 302호 (송도동, 드림시티)",032-851-2525,37.423158,126.669892,송도동
의원,닥터김내과의원,"인천광역시 연수구 용담로 11, 2층 (청학동, 시대아파트상가)",032-811-1001,37.417019,126.678112,청학동
의원,한미의원,"인천광역시 연수구 벚꽃로 114, 2층 250-1호 (연수동, 연수브랫슬)",032-812-3223,37.37889,126.646093,연수동
의원,세원정형외과의원,"인천광역시 연수구 인천타워대로54번길 9, 에몬스프라자 505,506호 (송도동)",032-421-6530,37.40427,126.681175,송도동
의원,메디모아의원,"인천광역시 연수구 경원대로 184, 2층 (동춘동, 이마트연수점)",032-816-1575,37.395717,126.651006,동춘동
의원,코아이비인후과의원,"인천광역시 연수구 컨벤시아대로 69, 409호 (송도동, 밀레니엄빌딩)",032-834-9009,37.391075,126.648036,송도동
의원,하얀나라피부과의원,"인천광역시 연수구 해돋이로 107, H동 76,77호 (송도동, 더샵퍼스트월드)",032-835-7590,37.395717,126.651006,송도동
의원,송도스타피부과의원,"인천광역시 연수구 컨벤시아대로 69, 401호 (송도동, 밀레니엄빌딩)",032-434-2286,37.379129,126.64635,송도동
의원,이화웰봄소아청소년과의원,"인천광역시 연수구 인천타워대로54번길 13, 해승메디피아 2층 (송도동)",032-833-7119,37.391371,126.651056,송도동
의원,정부순의원,인천광역시 연수구 해돋이로 102 (송도동),032-872-2754,37.395717,126.651006,송도동
의원,송도정형외과의원,"인천광역시 연수구 컨벤시아대로 69, 4층 (송도동, 밀레니엄빌딩)",032-859-7575,37.423935,126.644506,송도동
의원,솔이산부인과의원,"인천광역시 연수구 독배로 35 (옥련동,IF빌딩 4층)",032-834-1118,37.413621,126.676282,옥련동
의원,해사랑마취통증의학과의원,"인천광역시 연수구 청능대로 103, 3층 (연수동, BYC빌딩)",032-822-7580,37.424486,126.645626,연수동
의원,마음속내과의원,"인천광역시 연수구 독배로40번길 11, 401,402,403호 (옥련동, 효명프라자)",032-831-2208,37.420713,126.694656,옥련동
의원,도담이비인후과의원,"인천광역시 연수구 원인재로 312, 3층 304호 (연수동, 대림상가)",032-814-7582,37.412993,126.676698,연수동
의원,차지현정신건강의학과의원,"인천광역시 연수구 청능대로 109, 5층 (연수동, 탑피온빌딩)",032-821-2001,37.415072,126.677781,연수동
의원,성모신경외과의원,"인천광역시 연수구 용담로 115, 403호 (연수동, 파크타워)",032-819-8274,37.422474,126.669874,연수동
의원,신이비인후과의원,"인천광역시 연수구 용담로 11, 2층 (청학동)",032-818-8288,37.40678,126.671818,청학동
의원,모아소아청소년과.가정의학과의원,"인천광역시 연수구 앵고개로264번길 30-4, 201호 (동춘동, 영남프라자)",032-818-1365,37.42468,126.69755,동춘동
의원,연수우리내과의원,"인천광역시 연수구 학나래로6번길 35, 4층 (선학동)",032-814-7746,37.397047,126.649456,선학동
의원,송도이.이.주내과의원,"인천광역시 연수구 신송로 153, 더 마란츠타워 801,802호 (송도동)",032-858-3114,37.397047,126.649456,송도동
의원,PNC안과의원,"인천광역시 연수구 신송로 153, 더 마란츠타워 808,809호 (송도동)",032-858-2201,37.395356,126.651923,송도동
의원,에코이비인후과의원,"인천광역시 연수구 신송로 121, 405호 (송도동, 센타프라자)",032-851-3232,37.393754,126.651689,송도동
의원,송도내과의원,"인천광역시 연수구 해돋이로120번길 16, 201호 (송도동, 송도신도시풍림아이원 2단지 상가)",032-851-7505,37.427405,126.657699,송도동
의원,권도승정형외과의원,인천광역시 연수구 비류대로 208 (옥련동),032-834-5626,37.428673,126.663269,옥련동
의원,한마음의원,"인천광역시 연수구 청학로15번길 4, 2층 (청학동)",032-831-7505,37.413124,126.677061,청학동
의원,이성문소아청소년과의원,"인천광역시 연수구 청능대로113번길 11, 3층 302호 (연수동)",032-818-9391,37.408132,126.671504,연수동
의원,수이비인후과의원,"인천광역시 연수구 앵고개로 250, 3층 (동춘동, 연수메디칼)",032-815-8384,37.421517,126.693278,동춘동
의원,성심내과의원,인천광역시 연수구 원인재로 313 (연수동),032-817-3137,37.407222,126.671381,연수동
의원,우리들소아청소년과의원,인천광역시 연수구 앵고개로 254 (동춘동),032-817-8666,37.41428,126.676985,동춘동
의원,우리외과의원,"인천광역시 연수구 먼우금로 194, 3층 304호 (연수동, 두손메카)",032-814-9393,37.422417,126.674995,연수동
의원,서울가정의학과의원,"인천광역시 연수구 새말로 31, 2층 (연수동)",032-818-2119,37.406106,126.683724,연수동
의원,연수늘밝은안과의원,"인천광역시 연수구 청능대로 210, 스퀘어원 3층 3208호 (동춘동)",032-456-4370,37.413632,126.676281,동춘동
의원,마음과마음정신과의원,"인천광역시 연수구 청능대로 103, 3층 (연수동, 비와이씨빌딩)",032-812-2004,37.408132,126.671504,연수동
의원,연수메디칼정형외과의원,"인천광역시 연수구 앵고개로 250, 연수메디칼빌딩 2,5층 201,501호 (동춘동)",032-819-2345,37.407158,126.672262,동춘동
의원,굿모닝이비인후과의원,"인천광역시 연수구 앵고개로264번길 10-1, 3층 (동춘동)",032-811-3600,37.413632,126.676281,동춘동
의원,성수이비인후과의원,"인천광역시 연수구 청능대로 103, 5층 (연수동, 비와이씨빌딩)",032-819-5075,37.423469,126.701309,연수동
의원,녹색중앙의원,"인천광역시 연수구 선학로68번길 4, 3층 (선학동, 중앙빌딩)",032-814-2280,37.413632,126.676281,선학동
의원,연수함문외과의원,"인천광역시 연수구 청능대로 103, 3층 (연수동, 비와이씨)",032-821-0565,37.424378,126.644339,연수동
의원,인하정형외과의원,"인천광역시 연수구 독배로 41, 3,4층 (옥련동, 인영프라자)",032-833-8275,37.424584,126.647226,옥련동
의원,연세꾸러기소아청소년과의원,"인천광역시 연수구 독배로40번길 43, 301호 (옥련동, 신송빌딩)",032-833-7533,37.419839,126.672057,옥련동
의원,현대성모의원,인천광역시 연수구 함박뫼로 28 (청학동),032-816-1367,37.408624,126.670804,청학동
의원,손호균마취통증의학과의원,"인천광역시 연수구 앵고개로 242, 401호 (동춘동, 연수제일종합상가)",032-818-4939,37.422474,126.669874,동춘동
의원,박소아청소년과의원,"인천광역시 연수구 용담로 11, 2층 (청학동)",032-817-7932,37.408624,126.670804,청학동
의원,이이주내과의원,"인천광역시 연수구 앵고개로 242, 2층 (동춘동, 연수제일상가)",032-817-7114,37.424325,126.682502,동춘동
의원,이정호내과의원,"인천광역시 연수구 비류대로 429, 3층 (연수동, 영일빌딩)",032-815-0975,37.424574,126.647784,연수동
의원,피앤비의원,"인천광역시 연수구 한진로 23, 201호 (옥련동, 로얄프라자빌딩)",032-832-2251,37.413632,126.676281,옥련동
의원,홍성표내과의원,"인천광역시 연수구 청능대로 103, 4층 (연수동, BYC건물)",032-811-5810,37.407438,126.672559,연수동
의원,장효죽성형외과의원,"인천광역시 연수구 앵고개로 262, 402호 (동춘동, 동경상가)",032-814-1004,37.424479,126.644908,동춘동
의원,현대가외의원,"인천광역시 연수구 독배로 42, 3층 (옥련동)",032-834-6653,37.424574,126.647784,옥련동
의원,연세이비인후과의원,"인천광역시 연수구 한진로 23, 301호 (옥련동, 로얄프라자)",032-831-5666,37.407222,126.671381,옥련동
의원,우리산부인과의원,인천광역시 연수구 앵고개로 254 (동춘동),032-818-5121,37.418522,126.693105,동춘동
의원,변피부과의원,"인천광역시 연수구 원인재로 286, 301호 (연수동, 대림아파트상가)",032-818-4333,37.424535,126.682627,연수동
의원,서울정형외과의원,인천광역시 연수구 비류대로433번길 3 (연수동),032-821-7600,37.427682,126.65632,연수동
의원,연세정형외과의원,인천광역시 연수구 비류대로 194 (옥련동),032-834-7000,37.424448,126.646562,옥련동
의원,부부내과의원,인천광역시 연수구 독배로40번길 29 (옥련동),032-831-1888,37.426207,126.656885,옥련동
의원,제일내과의원,인천광역시 연수구 한나루로 190 (옥련동),032-832-4622,37.424378,126.644339,옥련동
의원,이강범이비인후과의원,"인천광역시 연수구 독배로 41, 3층 10호 (옥련동, 인영빌딩)",032-831-8275,37.413984,126.679135,옥련동
의원,한솔내과의원,인천광역시 연수구 용담로 131 (연수동),032-818-1888,37.408144,126.671494,연수동
의원,연수이안과의원,인천광역시 연수구 앵고개로 250 (동춘동),032-814-9480,37.408132,126.671504,동춘동
의원,이상대내과의원,"인천광역시 연수구 앵고개로 250, 연수메디칼빌딩 404,405호 (동춘동)",032-819-2342,37.408144,126.671494,동춘동
의원,최대경여성의원,인천광역시 연수구 앵고개로 250 (동춘동),032-813-1616,37.408144,126.671494,동춘동
의원,김운호피부과의원,인천광역시 연수구 앵고개로 250 (동춘동),032-813-9212,37.408132,126.671504,동춘동
의원,박무헌정신과의원,"인천광역시 연수구 앵고개로 250, 3층 (동춘동, 연수메디칼빌딩)",032-819-2178,37.408624,126.670804,동춘동
의원,연세비뇨기과의원,"인천광역시 연수구 앵고개로 242, 407,408호 (동춘동, 연수제일상가)",032-819-5522,37.424353,126.683058,동춘동
의원,이상영가정의학과의원,"인천광역시 연수구 비류대로 437, 2층 (연수동, 청보빌딩)",032-819-3636,37.424344,126.683055,연수동
의원,웅내과의원,"인천광역시 연수구 학나래로118번길 9, 205호 (선학동, 선학프라자)",032-819-7575,37.413632,126.676281,선학동
