일련번호, 경로당명 , 유형 ,도로명주소, 연락처 ,위도,경도
23, 현대3차아파트경로당 , 사립(공동) ,능허대로79번길 65,032-833-7662,37.426344,126.643888
24, 현대4차아파트경로당 , 사립(공동) ,한나루로105번길 68,032-834-1919,37.425282,126.650864
25, 현대5차아파트경로당 , 사립(공동) ,한진로 49,032-831-0444,37.427152,126.646856
26, 금호아파트경로당 , 사립(공동) ,선학로 100,032-815-9763,37.426633,126.699951
27, 뉴서울아파트경로당 , 사립(공동) ,선학로 101,032-815-8958,37.425084,126.700175
28, 대동아파트경로당 , 사립(공동) ,선학로 90,032-814-1741,37.425052,126.702191
29, 대진아파트경로당 , 사립(공동) ,선학로 37,032-812-2290,37.42189,126.699262
30, 선학경로당 , 구립 ,경원대로588번길 1,032-427-8927,37.436735,126.696871
31, 선학시영아파트경로당 , 사립(공동) ,선학로 14,032-814-8688,37.418756,126.696356
32, 선학희영무지개1차아파트경로당 , 사립(공동) ,넘말로29번길 45,032-817-5311,37.428178,126.695544
33, 선학아주아파트경로당 , 사립(공동) ,선학로 90,032-815-3065,37.425052,126.702191
34, 윤성아파트경로당 , 사립(공동) ,넘말로79번길 45,032-818-5627,37.430007,126.695562
35, 정광아파트경로당 , 사립(공동) ,선학로 37,032-815-0398,37.42189,126.699262
36, 태산아파트경로당 , 사립(공동) ,선학로 37,032-814-0425,37.42189,126.699262
37, 학나래경로당 , 구립 ,학나래로14번길 3,032-816-2895,37.424119,126.696752
38, 대명아파트경로당 , 사립(공동) ,함박뫼로 128,032-821-4440,37.421629,126.680641
39, 동남아파트경로당 , 사립(공동) ,새말로 21,032-816-6517,37.423701,126.675009
40, 문남아파트경로당 , 사립(공동) ,함박뫼로 100,032-819-1427,37.422439,126.678194
41, 성일아파트경로당 , 사립(공동) ,새말로 20,032-818-1965,37.422623,126.673457
42, 연수경로당 , 구립 ,함박뫼로84번길 29,032-816-2256,37.42201,126.676998
43, 우주아파트경로당 , 사립(공동) ,함박뫼로 115,032-811-6634,37.423055,126.68054
44, 유천아파트경로당 , 사립(공동) ,먼우금로 302,032-814-0407,37.422806,126.684115
45, 인향아파트경로당 , 사립(공동) ,함박뫼로 123,032-816-3937,37.423055,126.68054
46, 태경아파트경로당 , 사립(공동) ,먼우금로 299,032-811-1441,37.423055,126.68054
47, 태산아파트경로당 , 사립(공동) ,먼우금로 282,032-815-6797,37.420555,126.681509
48, 함박경로당 , 구립 ,함박안로62번길 73,032-815-1618,37.426079,126.682458
49, 효정아파트경로당 , 사립(공동) ,새말로 6,032-816-2917,37.420324,126.67796
50, 대동아파트경로당 , 사립(공동) ,벚꽃로 172,032-818-0250,37.413744,126.6828
51, 샘말경로당 , 구립 ,샘말로 68-5,032-811-2553,37.413988,126.680406
52, 솔밭마을아파트경로당 , 사립(공동) ,원인재로 222,032-815-3465,37.414683,126.687855
53, 연수1차승기마을아파트경로당 , 사립(공동) ,원인재로 222,032-812-0748,37.414683,126.687855
54, 연수1차영구임대아파트경로당 , 사립(공동) ,원인재로 222,032-812-3777,37.414683,126.687855
55, 연수1차일반분양아파트경로당 , 사립(공동) ,원인재로 222,032-811-5336,37.414683,126.687855
56, 우성1차아파트경로당 , 사립(공동) ,청능대로 175,032-817-2735,37.409927,126.683015
57, 우성2차아파트경로당 , 사립(공동) ,원인재로 180,032-817-5162,37.41179,126.685076
58, 경남아파트경로당 , 사립(공동) ,원인재로 312,032-813-2111,37.420713,126.694656
59, 대림아파트경로당 , 사립(공동) ,원인재로 312,032-813-9305,37.420713,126.694656
60, 대우1차아파트경로당 , 사립(공동) ,원인재로 237,032-813-0304,37.417299,126.68727
61, 세경아파트경로당 , 사립(공동) ,새말로 134,032-821-0229,37.416769,126.6832
62, 영남아파트경로당 , 사립(공동) ,새말로 111,032-813-0654,37.418678,126.68333
63, 주공1차임대아파트경로당 , 사립(공동) ,원인재로 315,032-812-2563,37.421151,126.691934
64, 주공2차아파트경로당 , 사립(공동) ,원인재로 315,032-813-7621,37.421151,126.691934
65, 주공3차아파트경로당 , 사립(공동) ,새말로 154,032-817-0529,37.415534,126.6852
66, 풍림1차아파트경로당 , 사립(공동) ,함박뫼로 250,032-811-7657,37.417625,126.69187
67, 동남아파트경로당 , 사립(공동) ,청학로12번길 72,032-832-7904,37.427062,126.66704
68, 동보아파트경로당 , 사립(공동) ,솔샘로 120,032-834-6744,37.616886,127.009419
69, 삼용아파트경로당 , 사립(공동) ,솔샘로 20,032-831-0603,37.424482,126.667383
70, 서해아파트경로당 , 사립(공동) ,미추홀대로251번길 9,032-831-1370,37.421757,126.666335
71, 성호아파트경로당 , 사립(공동) ,솔샘로43번길 15,032-831-2664,37.4231,126.666642
72, 시대아파트경로당 , 사립(공동) ,용담로 11,032-817-4318,37.422474,126.669874
73, 영남송도아파트경로당 , 사립(공동) ,비류대로232번길 7,032-831-4829,37.42689,126.66064
74, 용담마을아파트경로당 , 사립(공동) ,용담로 25,032-813-1546,37.421116,126.671417
75, 청능마을경로당 , 구립 ,청능말로22번길 10,032-818-9229,37.416943,126.667838
76, 청담경로당 , 구립 ,용담로 61,032-818-8493,37.418573,126.67421
77, 청로경로당 , 구립 ,청학로27번길 32-1,032-832-6670,37.429817,126.661707
78, 청학경로당  , 구립 ,계림로71-8(2층),032-832-7820,37.428608,126.667534
79, 청학골경로당 , 구립 ,솔샘로 101,032-834-1166,37.425341,126.663176
80, 청학시영아파트경로당 , 사립(공동) ,비류대로294번길 16,032-831-3575,37.425416,126.666178
81, 청학동 하나아파트경로당 , 사립(공동) ,용담로 14,032-818-3173,37.419735,126.669169
82, 청학현대아파트경로당 , 사립(공동) ,계림로 111,032-831-4987,37.428549,126.669785
83, 건영아파트경로당 , 사립(공동) ,먼우금로83번길 12,032-818-2227,37.408322,126.668138
84, 농원경로당 , 구립 ,동곡재로160번길 2동곡재로 156(동춘동) ,032-817-0951,37.413467,126.665969
85, 대림3차아파트경로당 , 사립(공동) ,먼우금로83번길 49,032-813-2566,37.406891,126.666526
86, 대우3차아파트경로당 , 사립(공동) ,동곡재로117번길 22,032-816-0221,37.412381,126.667716
87, 동춘마을아파트경로당 , 사립(공동) ,먼우금로 123,032-817-7470,37.411098,126.670145
88, 롯데아파트경로당 , 사립(공동) ,먼우금로161번길 12,032-814-6991,37.41357,126.67405
89, 태평1차아파트경로당 , 사립(공동) ,앵고개로206번길 10,032-811-0970,37.410632,126.666819
90, 태평2차아파트경로당 , 사립(공동) ,청능대로 38,032-253-0330,37.41695,126.670218
91, 풍림3차아파트경로당 , 사립(공동) ,먼우금로 149,032-816-2373,37.412252,126.672505
92, 하나아파트경로당 , 사립(공동) ,앵고개로205번길 41,032-818-0575,37.413253,126.669556
93, 연수서해그랑블1단지아파트경로당 , 사립(공동) ,봉재산로 20,032-815-2238,37.40968,126.666215
94,송도파크자이아파트경로당, 사립(공동) ,앵고개로 104번길 22,,,
95,동일하이빌아파트경로당, 사립(공동) ,능허대로 343,,,
96, 대동아파트경로당 , 사립(공동) ,먼우금로63번길 13,032-212-2579,37.403893,126.668714
97, 동남아파트경로당 , 사립(공동) ,먼우금로 19,032-817-6338,37.401167,126.668234
98, 무지개마을아파트경로당 , 사립(공동) ,원인재로 14,032-819-0824,37.401583,126.671079
99, 아주아파트경로당 , 사립(공동) ,먼우금로63번길 13,032-816-4153,37.403893,126.668714
100, 풍림2차아파트경로당 , 사립(공동) ,경원대로119번길 21,032-815-6427,37.401668,126.674525
101, 한양2차경로당 , 사립(공동) ,원인재로 59,032-815-7940,37.405395,126.672745
102, 현대1차아파트경로당 , 사립(공동) ,원인재로 56,032-813-0420,37.403309,126.676195
103, 대우삼환아파트경로당 , 사립(공동) ,원인재로 88,032-816-3045,37.405955,126.678637
104, 동아금호아파트경로당 , 사립(공동) ,청능대로 124,032-813-3442,37.410854,126.676008
105, 럭키삼성아파트경로당 , 사립(공동) ,원인재로 81,032-815-6421,37.407286,126.675796
106, 한양1차아파트경로당 , 사립(공동) ,원인재로 124,032-817-0972,37.408004,126.680743
107, 현대대림아파트경로당 , 사립(공동) ,먼우금로 126,032-814-2593,37.408908,126.673369
108, 금호어울림아파트경로당 , 사립(공동) ,해돋이로84번길 30,032-258-1802,37.391572,126.656124
109, 더샵퍼스드월드경로당(송도) , 사립(공동) ,해돋이로 107,032-835-5870,37.391085,126.64804
110, 성지리벨루스경로당(송도) , 사립(공동) ,신송로6번길 7,032-851-5515,37.389347,126.662285
111, 아이파크송도아파트경로당 , 사립(공동) ,해돋이로6번길 7,032-858-1567,37.387724,126.658444
112, 웰카운티1단지경로당(송도) , 사립(공동) ,해송로 143,032-833-9350,37.377414,126.648223
113, 웰카운티2단지경로당(송도) , 사립(공동) ,해송로 70,032-858-7779,37.379109,126.650591
114, 웰카운티3단지경로당 , 사립(공동) ,해송로30번길 19,070-8910-8622,37.38102,126.647036
115, 웰카운티4단지경로당(송도) , 사립(공동) ,해송로30번길 20,032-859-0996,37.381629,126.64437
116, 풍림아이원아파트1단지경로당 , 사립(공동) ,신송로118번길 6,032-851-6006,37.395162,126.654697
117, 풍림아이원아파트2단지경로당 , 사립(공동) ,해돋이로120번길 16,032-858-0045,37.39333,126.651988
118, 풍림아이원아파트3단지경로당 , 사립(공동) ,해돋이로84번길 29,032-851-0752,37.391897,126.653303
119, 풍림아이원아파트4단지경로당(송도) , 사립(공동) ,신송로82번길 6,032-248-0368,37.393282,126.657478
120, 송도풍림아이원아파트6단지 경로당 , 사립(공동) ,해돋이로84번길 10,032-241-3457,37.39014,126.654454
121, 해모로경로당(송도) , 사립(공동) , 해돋이로6번길 33 ,032-203-2230,37.388992,126.658736
122, 더샵그린애비뉴7단지경로당(송도) , 사립(공동) , 컨벤시아대로42번길35 ,032-831-7502,37.401513,126.64725
123, 더샵그린애비뉴8단지경로당(송도) , 사립(공동) , 컨벤시아대로42번길61 ,070-8995-1042,37.401513,126.64725
124, 더샵그린워크1차아파트경로당(송도) , 사립(공동) , 아트센터대로97번길 30 ,070-8970-7070,37.397889,126.645143
125, 더샵센트럴파크1경로당 , 사립(공동) ,센트럴로 232,032-859-6403,37.396669,126.637799
126, 더샵센트럴파크2경로당(송도) , 사립(공동) ,센트럴로 194,032-831-8735,37.39463,126.640718
127, 더샵엑스포9단지경로당(송도) , 사립(공동) ,컨벤시아대로42번길 77,032-834-9330,37.401953,126.644857
128, 더샵엑스포10단지경로당(송도) , 사립(공동) ,컨벤시아대로42번길 95,032-858-2700,37.403084,126.643241
129, 더샵하버뷰13단지경로당(송도) , 사립(공동) ,아트센터대로97번길 75,032-831-0723,37.398166,126.64638
130, 센트럴파크푸르지오경로당(송도) , 사립(공동) , 센트럴로 160 ,070-4575-2324,37.394328,126.640779
131, 송도더샵그린워크3차18블럭아파트경로당 , 사립(공동) , 컨벤시아대로 130번길100 ,032-831-5115,37.396087,126.64127
132," 푸르지오월드마크1,2단지경로당 ", 사립(공동) , 컨벤시아대로 60 ,070-8995-1222,37.397338,126.650694
133," 푸르지오월드마크7,8단지경로당 ", 사립(공동) ,컨벤시아대로 126,070-8995-2150,37.392651,126.645235
134, 자이하버뷰1단지경로당(송도) , 사립(공동) ,송도동19-6번지 부대복리시설-2,070-8910-8166,37.383912,126.643855
135, 자이하버뷰2단지경로당(송도) , 사립(공동) , 컨벤시아대로130번길 32 ,032-858-0898,37.395206,126.643251
136, 코오롱더프라우경로당(송도) , 사립(공동) ,컨벤시아대로42번길 20,032-832-7965,37.399647,126.650252
137, 푸르지오하버뷰아파트경로당(송도) , 사립(공동) ,컨벤시아대로 130번길 80,032-831-1190,37.396857,126.639028
138, 송도더샵하버뷰2 15단지경로당 , 사립(공동) , 아트센터대로 97번길 56 ,032-833-8306,37.397889,126.645143
139, 송도더샵그린워크3차17블럭아파트경로당 , 사립(공동) ,아트센터대로 97번길 20,032-858-9078,37.397889,126.645143
140,  송도롯데캐슬아파트경로당 , 사립(공동) ,송도과학로27번길 70,032-859-6812,37.386954,126.667457
141,  송도해모로월드뷰아파트경로당 , 사립(공동) ,송도과학로27번길 30,032-811-3464,37.38693,126.667458
142, 송도그린스퀘어아파트경로당 , 사립(공동) ,송도문화로 28번길 81,032-812-8849,37.371442,126.653239
143, 송도글로벌캠퍼스푸르지오아파트경로당 , 사립(공동) ,송도문화로 28번길 28,032-821-2014,37.37599,126.657081
144, 송도롯데캐슬캠퍼스타운아파트경로당  , 사립(공동) ,송도과학로27번길 55,032-812-8008,37.387993,126.665202
145, 송도캐슬앤해모로아파트경로당 , 사립(공동) ,송도과학로51번길 136,032-822-0052,37.383912,126.643855
146, 에듀포레푸르지오아파트경로당  , 사립(공동) ,송도문화로84번길 24,032-819-2400,37.372751,126.659912
147, 더퍼스트시니어센터(베르디움더퍼스트아파트) , 사립(공동) ,송도문화로84번길 84,032-822-1151,37.373381,126.663602
148, 송도호반베르디움2차아파트경로당 , 사립(공동) ,송도문화로28번길 27,032-816-1231,37.375956,126.65715
149, 더샵센트럴시티아파트시니어회 , 사립(공동) ,송도 국제대로 261,032-822-9048,37.384878,126.658734
150, 송도아메리칸타운아이파크시니어경로당 , 사립(공동) ,송도과학로 27번길 15,032-814-9992,37.385435,126.662667
151, 더샵마스터뷰2단지아파트경로당 (송도) , 사립(공동) ,컨벤시아대로 274번길 35,032-831-8125,37.38133,126.63303
152, 마스터뷰1단지경로당, 사립(공동) ,컨벤시아대로 274번길 55,,,
153, 아트윈푸르지오아파트경로당(송도) , 사립(공동) ,인천타워대로 253-25,070-4575-7004,37.390558,126.636717
154, 더샵퍼스트파크13단지경로당 , 사립(공동) ,컨벤시아대로252번길70,032-834-8996,37.392921,126.646044
155, 더샵퍼스트파크14단지경로당 , 사립(공동) ,컨벤시아대로252번길 50,032-834-8974,37.392921,126.646044
156, 더샵퍼스트파크15단지경로당 , 사립(공동) ,컨벤시아대로252버길 30,032-831-1526,37.392868,126.646148
157, e편한세상송도아파트경로당 , 사립(공동) ,랜드마크로113 ,032-858-9793,37.411283,126.618631
158, 마리나베이아파트경로당, 사립(공동) ,랜드마크로 160,,,
