상호명,도로명주소,전화번호,위도,경도
문남 세탁,"인천광역시 연수구 함박뫼로 100 (연수동,문남(아)상가 206호)",032-815-5605,37.422439,126.678194
크린맨,"인천광역시 연수구 청능말로7번길 17, 1층 (청학동)",032-813-1181,37.417382,126.669341
크린메이드,"인천광역시 연수구 함박뫼로4번길 7-8 (청학동,지상1층(청담길 56))",032-822-3777,37.418098,126.671774
21세기 세탁,"인천광역시 연수구 앵고개로206번길 10 (동춘동,(1동)태평A 상가 105호(1층))",032-812-1031,37.409465,126.67081
빨리 셀프 크리닝,"인천광역시 연수구 먼우금로 126 (동춘동,현대.대림(아)상가 108호)",032-819-8484,37.408908,126.673369
정광태산대진세탁소,"인천광역시 연수구 선학로 37, 105호 (선학동, 정광상가)",032-815-6070,37.42189,126.699262
보스세탁소,"인천광역시 연수구 학나래로109번길 21 (선학동,지상1층(학나래로 109번길 21))",032-821-9399,37.428567,126.696789
성화세탁소,"인천광역시 연수구 먼우금로 302 (연수동,유천상가 202호)",032-813-6391,37.422806,126.684115
아주세탁소,"인천광역시 연수구 옥련로99번길 44 (옥련동,103호)",032-832-9612,37.427236,126.652659
주공3차세탁소,인천광역시 연수구 새말로 152 (연수동),032-812-5334,37.41625,126.685312
재창세탁소,"인천광역시 연수구 한나루로 194-3 (옥련동,1층 (한나루로 194-3))",032-832-9325,37.426377,126.657198
대우삼환세탁소,"인천광역시 연수구 원인재로 88 (동춘동,대우삼환분산상가102호(지상1층))",032-814-6595,37.405955,126.678637
동춘컴퓨터세탁,"인천광역시 연수구 먼우금로 19 (동춘동,동남A상가 111호)",032-816-7946,37.401167,126.668234
우성세탁,"인천광역시 연수구 독배로40번길 48 (옥련동,우성(아)상가 107호)",032-831-1484,37.423697,126.647302
현대세탁소,"인천광역시 연수구 독배로82번길 27-3 (옥련동,극동 102호)",032-831-7447,37.427777,126.64685
뉴서울세탁소,"인천광역시 연수구 선학로 101 (선학동,뉴서울(아)상가 108호(선학1로17))",032-814-2996,37.425084,126.700175
정광세탁,인천광역시 연수구 비류대로321번길 2-7 (연수동),032-817-1389,37.425458,126.670785
현대세탁,"인천광역시 연수구 계림로112번길 10 (청학동,오성상가주택 지상1층 2호(계림로112번길 10))",032-831-0703,37.427208,126.669282
지하특수세탁,"인천광역시 연수구 청량로 210 (옥련동,쌍용상가 지하 7층,8층)",032-832-0222,37.425074,126.653089
운동화 빨래방,"인천광역시 연수구 독배로 35 (옥련동,IF상가 1층 117호)",032-833-0403,37.423871,126.644426
우리빨래방,인천광역시 연수구 먼우금로251번길 25 (연수동),032-815-7916,37.419871,126.678062
성호세탁소,"인천광역시 연수구 솔샘로43번길 15 (청학동,성호아파트상가 105호)",032-0832-7728,37.423158,126.666893
태평세탁,"인천광역시 연수구 한나루로193번길 16 (옥련동,태평아파트상가 104호)",032-833-0588,37.426046,126.655172
베스트크리닝,"인천광역시 연수구 용담로149번길 43 (연수동,(샘말1로 25))",032-816-5047,37.414,126.680396
황해세탁소,"인천광역시 연수구 먼우금로 19 (동춘동,동남상가 114호)",032-815-5976,37.401167,126.668234
풍림세탁,"인천광역시 연수구 비류대로186번길 21 (옥련동,풍림(아)상가 201호)",032-833-0708,37.426991,126.656283
동아금호세탁소,"인천광역시 연수구 청능대로 124, 105호 (동춘동, 동아금호상가)",032-813-0118,37.410604,126.67592
크린벨 세탁전문점,"인천광역시 연수구 먼우금로251번길 33, 지상1층 (연수동)",032-864-1898,37.42006,126.677719
럭키에이스세탁소,"인천광역시 연수구 능허대로79번길 30 (옥련동,럭키송도아파트 일반상가 101호)",032-833-4777,37.424435,126.642756
풍림세탁소,"인천광역시 연수구 신송로82번길 6 (송도동,풍림아이원4차상가 110호)",032-851-8899,37.393754,126.651689
금호세탁,"인천광역시 연수구 해돋이로84번길 30, 205호 (송도동, 송도금호 어울림 상가)",032-851-0567,37.391606,126.655534
우성세탁,"인천광역시 연수구 청능대로 175 (연수동,연수1차우성아파트상가 104호)",032-818-9413,37.410077,126.683225
아이파크크리링,"인천광역시 연수구 해돋이로6번길 7 (송도동,아이파크송도(아)상가 109호)",032-858-4567,37.3879,126.658823
신도시세탁소,"인천광역시 연수구 해돋이로120번길 16, 109호 (송도동, 송도풍림아이원2단지아파트상가동)",032-851-1515,37.393356,126.651923
풍림3블럭세탁소,"인천광역시 연수구 해돋이로84번길 29 (송도동,송도풍림아이원3블럭아파트상가동 106호)",032-858-7788,37.392058,126.652786
은하세탁소,인천광역시 연수구 함박뫼로 123 (연수동),032-811-6866,37.423269,126.679392
마스터뷰 세탁소,"인천광역시 연수구 컨벤시아대로274번길 55, 상가동 7호 (송도동, 송도 더샵 마스터뷰 21BL)",032-851-4569,37.383912,126.643855
센트럴파크국제세탁소,"인천광역시 연수구 센트럴로 232, D동 1층 105호 (송도동, 센트럴파크)",032-831-5519,37.393428,126.635009
송도해모로세탁소,"인천광역시 연수구 해돋이로6번길 33 (송도동,송도해모로아파트 상가동 207호)",032-851-5060,37.389218,126.660061
송도세탁소,"인천광역시 연수구 신송로118번길 6 (송도동,송도풍림아이원1블럭아파트상가 110호)",032-851-0030,37.395106,126.6547
e-향기로운 세탁,인천광역시 연수구 새말로 79 (연수동),,37.419374,126.678628
한양세탁소,"인천광역시 연수구 원인재로 124 (동춘동,한앙아파트상가 121호 (원인재로 36))",032-821-7778,37.408004,126.680743
무지개세탁,"인천광역시 연수구 원인재로 14 (동춘동,무지개마을(아) 상가 1층 115호)",032-813-3633,37.401189,126.671115
웰카운티 백의나라21C,"인천광역시 연수구 해송로 70 (송도동,웰카운티단지내 상가 230동 5호)",032-833-8839,37.380265,126.64752
웰크리닝세탁소,"인천광역시 연수구 해송로 143, 137동 2-1호 (송도동,웰카운티 1단지상가)",032-851-8250,37.37564,126.650124
운동화빠는집,"인천광역시 연수구 원인재로 14, 1층 27~30호 (동춘동, 무지개@상가)",032-822-4009,37.401583,126.671079
대림세탁,"인천광역시 연수구 원인재로 286, 대림아파트 상가동 204호 (연수동)",032-813-0496,37.419548,126.693835
윤성세탁소,"인천광역시 연수구 넘말로79번길 45 (선학동,윤성아파트상가동105호(선유봉길 42))",032-817-1963,37.429991,126.695557
더샾세탁소,"인천광역시 연수구 해돋이로 107 (송도동,송도더샵퍼스트월드H동 상가24호(해돋이로107))",032-835-7889,37.391075,126.648036
세탁은행,"인천광역시 연수구 새말로 105 (연수동,지상1층(새말로 105))",032-819-5743,37.418602,126.680971
현대세탁소,"인천광역시 연수구 독배로 58, 105호 (옥련동,현대2차APT상가동)",032-832-3865,37.42588,126.6467
크린리더 세탁소,"인천광역시 연수구 비류대로541번길 14-2 (선학동,지상1층(비류대로 541번길 14-2))",032-815-5427,37.423765,126.694889
신현대세탁소,"인천광역시 연수구 계림로 95, 101호 (청학동, 현대상가동)",032-831-0705,37.428009,126.668762
포스코세탁,"인천광역시 연수구 해돋이로 107 (송도동,더샾퍼스트월드상가H동 43,44호1층(해돋이로107))",032-835-6606,37.391075,126.648036
자이명품세탁,"인천광역시 연수구 컨벤시아대로130번길 58, 에이동 103호 (송도동, 송도자이하버뷰1단지)",032-831-8182,37.39695,126.64222
대우명품세탁,"인천광역시 연수구 컨벤시아대로130번길 80 (송도동,대우푸르지오하버뷰 상가동 104호)",032-831-3330,37.396512,126.639405
쉐라톤세탁소,"인천광역시 연수구 컨벤시아대로 153 (송도동,쉐라톤인천호텔내 지상5층)",032-835-1000,37.390248,126.645503
더샵하버뷰세탁,"인천광역시 연수구 아트센터대로97번길 75 (송도동,더샵하버뷰상가동 1층 102호일부(아트센터대로97번길75))",032-859-9966,37.398772,126.647168
월드명품세탁,"인천광역시 연수구 센트럴로 415, 힐스테이트 송도 더테라스 판매시설동 192호 (송도동)",032-429-0066,37.383912,126.643855
레이크명품세탁,"인천광역시 연수구 아카데미로 446, 222동 102호 (송도동, 힐스테이트 레이크 송도 2차)",,37.397614,126.620911
퍼스트세탁소,"인천광역시 연수구 해돋이로 107, G동 1층 13호 (송도동, 송도 더샵 퍼스트월드)",032-835-6666,37.391075,126.648036
아트윈 명품세탁소,"인천광역시 연수구 인천타워대로 253-25, 213호 (송도동, 아트윈 푸르지오)",032-858-2992,37.392731,126.632261
자이 베스트 세탁소,"인천광역시 연수구 컨벤시아대로130번길 32, 1층 108호 (송도동)",032-858-8844,37.383912,126.643855
그린세탁소,인천광역시 연수구 원인재로 222 (연수동),032-811-1754,37.414683,126.687855
하버뷰II세탁소,"인천광역시 연수구 아트센터대로97번길 56 (송도동,송도더샵하버뷰2상가 지상2층 203호)",032-831-5506,37.397677,126.643145
롯데캐슬 클리닝(Cleaning),"인천광역시 연수구 송도과학로27번길 70, 112동 1층 104호 (송도동, 롯데캐슬 단지상가)",,37.383912,126.643855
파크명품세탁,"인천광역시 연수구 센트럴로 160, 판매시설동 1층 139호 (송도동, 송도센트럴파크푸르지오)",032-831-8155,37.392419,126.644034
올댓크린,"인천광역시 연수구 원인재로 14 (동춘동, 무지개마을상가 지하1층 14~17호,22~25호)",032-814-1241,37.401583,126.671079
지금은세탁중,"인천광역시 연수구 컨벤시아대로42번길 12, 202동 1층 111호 (송도동)",032-834-8323,37.383912,126.643855
그린애비뉴세탁소,"인천광역시 연수구 컨벤시아대로42번길 61, 817동 1층 109호 (송도동, 그린애비뉴@상가)",032-858-2044,37.399799,126.647979
푸르지오세탁소,"인천광역시 연수구 송도문화로28번길 28, 203동 1층 3-122호 (송도동)",032-821-0999,37.383912,126.643855
그린명품세탁소,"인천광역시 연수구 아트센터대로97번길 30, 상가동 104호 (송도동, 더샵그린워크1차)",032-832-4800,37.401751,126.640457
그린워크 착한세탁소,"인천광역시 연수구 아트센터대로97번길 15, 103호 (송도동, 더샵그린워크2차 1107동)",032-832-1388,37.401465,126.641496
유니드,"인천광역시 연수구 앵고개로104번길 22, 상가동 109호 (동춘동, 송도파크자이)",032-423-3337,37.409951,126.656745
한진롯데세탁소,"인천광역시 연수구 송도과학로51번길 136, 108호 (송도동, 송도캐슬해모로)",032-821-1588,37.383912,126.643855
뽀송이세탁,"인천광역시 연수구 해돋이로 110, 은진프라자 103호 (송도동)",032-831-0100,37.391892,126.650265
얼룩빼기이박사,"인천광역시 연수구 컨벤시아대로130번길 100, 지상1층 108호 (송도동, 송도더샵그린워크3차상가)",032-859-5957,37.399717,126.640232
연수세탁,"인천광역시 연수구 먼우금로 299, 지상1층 115호 (연수동, 태경아파트상가)",032-819-0152,37.423269,126.68178
얼룩빼기이박사,"인천광역시 연수구 송도과학로27번길 55, 지상2층 (송도동, 롯데캐슬캠퍼스타운 301 B-212호)",032-818-8108,37.386683,126.665179
에듀세탁,"인천광역시 연수구 송도문화로84번길 24, 지상2층 201호 (송도동, 송도 에듀포레 푸르지오 상가)",032-822-0568,37.372751,126.659912
민세탁,"인천광역시 연수구 송도문화로84번길 84, 2동 206호 (송도동, 호반베르디움아파트단지내 상가 )",032-813-0999,37.383912,126.643855
달인,"인천광역시 연수구 먼우금로222번길 35, 102동 101호 (연수동, 이레하이닉스)",032-818-1546,37.416093,126.679281
풍림세탁소,"인천광역시 연수구 함박뫼로 250, 상가동 201호 (연수동, 연수풍림1차아파트)",032-811-3377,37.417625,126.69187
오네스타 세탁수선,"인천광역시 연수구 송도국제대로 157, 2층 A-201호 (송도동, 오네스타)",,37.383912,126.643855
지금은 세탁중,"인천광역시 연수구 컨벤시아대로42번길 95, 1020동 113호 (송도동, 더샵 엑스포)",032-833-8321,37.403141,126.643966
호반명품세탁,"인천광역시 연수구 송도문화로28번길 27, 2동 202호 (송도동, 호반베르디움)",032-815-1666,37.383912,126.643855
지금은 세탁중,"인천광역시 연수구 해송로30번길 20, 420동 1층 106호 (송도동, 송도 웰카운티 4단지)",032-851-8324,37.381629,126.64437
더 세탁,"인천광역시 연수구 컨벤시아대로252번길 30, 송도 더샵 퍼스트파크 1510동 105호 (송도동, 송도 더샵 퍼스트파크 F15BL)",,37.383912,126.643855
하이크리닝,"인천광역시 연수구 능허대로103번길 44, 한빌딩 1층일부호 (옥련동)",032-832-0489,37.423868,126.644156
그린세탁,"인천광역시 연수구 송도문화로28번길 81, 113동 107호 (송도동, 송도더샵그린스퀘어)",032-831-3567,37.371482,126.653234
센시티세탁소,"인천광역시 연수구 송도국제대로 261, 231동 116,117호 (송도동, 송도 더샵 센트럴시티)",,37.373832,126.650899
솜씨세탁,"인천광역시 연수구 송도과학로27번길 15, 104동 204호 (송도동, 송도아메리칸타운아이파크)",,37.383912,126.643855
신(Shin)세탁,"인천광역시 연수구 랜드마크로 113, 상가 A동 2층 217호 (송도동, e편한세상 송도)",032-812-3365,37.383912,126.643855
세탁나라,"인천광역시 연수구 능허대로 343, 상가동 103호 (동춘동, 송도 파크레인 동일하이빌)",,37.407229,126.658517
그린앙팡,"인천광역시 연수구 원인재로 180, 상가동 지하10호 (연수동, 연수우성2차아파트)",,37.411687,126.684475
동남스포피아 세탁,"인천광역시 연수구 새말로 27, 동남아파트 상가동 105호 (연수동)",032-812-0191,37.423908,126.675003
마리나 명품 세탁,"인천광역시 연수구 랜드마크로 160, 1동 201호 (송도동, 더샵 송도 마리나베이)",,37.411938,126.611563
더 세탁(마리나베이점),"인천광역시 연수구 랜드마크로 160, 근린생활시설3동 106호 (송도동, 더샵 송도 마리나베이)",,37.383912,126.643855
랜드명품세탁,"인천광역시 연수구 랜드마크로 68, 301동 1층 2호 (송도동, 랜드마크시티센트럴더샵)",032-831-0022,37.383912,126.643855
엄마손 손세탁,"인천광역시 연수구 능허대로 265, 1층 일부호 (동춘동)",032-833-4400,37.413077,126.653863
그린크린,"인천광역시 연수구 함박뫼로26번길 13, 1층 일부호 (청학동)",,37.419347,126.672456
